city,total,peak,junctions,rank_total,rank_peak
Lackawanna,1.7056554734237834,0.1446375867151122,157,1,3
Buffalo,1.1682168986015706,0.18180526561061455,57,2,1
Syracuse,0.5210597903303414,0.16912998836852453,11,3,2
Rome,0.3686723068587818,0.0930309654882378,11,4,4
Rochester,0.3370911460602639,0.062169667991467725,18,5,6
Schenectady,0.15015401285903182,0.054605420191786734,3,6,7
Corning,0.13950382474738482,0.047726936905875976,5,7,9
Batavia,0.09011930787037914,0.09011930787037914,3,8,5
Hornell,0.054131825914321106,0.054131825914321106,5,9,8
Geneva,0.042309018371669206,0.021914154406889468,3,10,11
Rensselaer,0.0401873160086232,0.015514948529773925,6,11,13
Binghamton,0.02779619533301255,0.018767594027407845,13,12,12
Elmira,0.02626174987402392,0.02626174987402392,1,13,10
Niagara Falls,0.017013400823675168,0.005611144999412743,13,14,17
Auburn,0.01460564751703992,0.01460564751703992,2,15,14
Utica,0.008789909789762029,0.008740655984905603,6,16,15
Olean,0.008255695444780801,0.005991914798495107,5,17,16
Lockport,0.006778081299088046,0.004514300652802352,5,18,18
North Tonawanda,0.0013753177817601794,0.0013753177817601794,2,19,19
Ogdensburg,6.63031988451877e-05,2.273252531835007e-05,7,20,21
Port Jervis,5.8725690405737684e-05,5.8725690405737684e-05,1,21,20
Oswego,2.0838148208487566e-05,2.0838148208487566e-05,2,22,22
Glens Falls,1.3260639769037542e-05,1.3260639769037542e-05,4,23,23
Hudson,5.683131329587518e-06,5.683131329587518e-06,3,24,24
Watertown,0.0,0.0,0,25,25
Plattsburgh,0.0,0.0,0,25,25
Oneonta,0.0,0.0,2,25,25
Poughkeepsie,0.0,0.0,0,25,25
Troy,0.0,0.0,1,25,25
Tonawanda,0.0,0.0,0,25,25
Sherrill,0.0,0.0,0,25,25
Salamanca,0.0,0.0,1,25,25
Saratoga Springs,0.0,0.0,0,25,25
Albany,0.0,0.0,6,25,25
Mechanicville,0.0,0.0,1,25,25
Oneida,0.0,0.0,0,25,25
Norwich,0.0,0.0,0,25,25
Beacon,0.0,0.0,0,25,25
Canandaigua,0.0,0.0,1,25,25
Cohoes,0.0,0.0,0,25,25
Cortland,0.0,0.0,0,25,25
Dunkirk,0.0,0.0,4,25,25
Fulton,0.0,0.0,0,25,25
Gloversville,0.0,0.0,0,25,25
Ithaca,0.0,0.0,0,25,25
Jamestown,0.0,0.0,2,25,25
Johnstown,0.0,0.0,0,25,25
Kingston,0.0,0.0,1,25,25
Little Falls,0.0,0.0,0,25,25
Amsterdam,0.0,0.0,0,25,25
Middletown,0.0,0.0,1,25,25
Newburgh,0.0,0.0,0,25,25
Watervliet,0.0,0.0,0,25,25
